Name,Title,Company,Type,Industry,ICP Score,ICP Fit,Reasoning
Jessica Murillo,"COO, Technology Lifecycle Services",IBM,Speaker,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation.",100,High,"IBM's Technology Lifecycle Services (TLS) division is a massive global field service operation, perfectly aligning with the target industry criteria. The presence of the COO and several directors from operational and AI-focused departments indicates high-level stakeholder alignment and significant potential for enterprise-scale AI automation."
Tanya Singh,Chief Commercial Officer,Biotronics 3D,Speaker,"Biotronics 3D is a perfect industry match and the contact is a high-authority C-level speaker. However, the company size of 50 employees is well below the target minimum of 500, which significantly lowers the overall fit score for enterprise-scale field service automation.",70,Medium,"Biotronics 3D is a perfect industry match and the contact is a high-authority C-level speaker. However, the company size of 50 employees is well below the target minimum of 500, which significantly lowers the overall fit score for enterprise-scale field service automation."
Adam Gloss,COO,Impell,Speaker,"Impell is a strong match due to its presence in a core target industry and the involvement of a C-level speaker (COO). Although the company size of 250 falls below the 500-employee threshold, the strategic alignment with field service needs and executive-level interest justifies a High fit level.",85,High,"Impell is a strong match due to its presence in a core target industry and the involvement of a C-level speaker (COO). Although the company size of 250 falls below the 500-employee threshold, the strategic alignment with field service needs and executive-level interest justifies a High fit level."
Kyle Seiter,Chief Information Officer,TridentCare,Speaker,TridentCare is a perfect ICP match as a large-scale mobile diagnostics provider representing the Field Service industry. The lead is a C-level executive (CIO) overseeing the target IT/Technology department at a company that significantly exceeds the minimum size threshold.,100,High,TridentCare is a perfect ICP match as a large-scale mobile diagnostics provider representing the Field Service industry. The lead is a C-level executive (CIO) overseeing the target IT/Technology department at a company that significantly exceeds the minimum size threshold.
Anthony S. Billups Jr.,President,PremiStar,Speaker,"PremiStar is a perfect ICP match, operating directly in core target industries like HVAC and Building Automation with a large workforce of 2,000 employees. The engagement features a high-level executive (President), fulfilling all criteria for industry, title, department, and size.",100,High,"PremiStar is a perfect ICP match, operating directly in core target industries like HVAC and Building Automation with a large workforce of 2,000 employees. The engagement features a high-level executive (President), fulfilling all criteria for industry, title, department, and size."
Showkot Hassan,Head of the Global Service,Omron Corporation,Speaker,Omron is a primary industry target with a massive enterprise footprint and a clear requirement for global service operations. The presence of the Head of Global Service as a speaker provides high-intent signals and fits the target title and department criteria perfectly.,100,High,Omron is a primary industry target with a massive enterprise footprint and a clear requirement for global service operations. The presence of the Head of Global Service as a speaker provides high-intent signals and fits the target title and department criteria perfectly.
Brad Haeberle,"Executive Vice President, Services",Siemens Smart Infrastructure,Speaker,"Siemens Smart Infrastructure perfectly aligns with all target criteria, featuring a high-level EVP in the priority Services department within a primary target industry. The company's massive enterprise scale and active presence at the event as a speaker signify a premium, high-intent lead for field service automation.",100,High,"Siemens Smart Infrastructure perfectly aligns with all target criteria, featuring a high-level EVP in the priority Services department within a primary target industry. The company's massive enterprise scale and active presence at the event as a speaker signify a premium, high-intent lead for field service automation."
Matt Van Holland,Market Service Executive - GM Service Operations,GE HealthCare,Speaker,"GE HealthCare is a perfect enterprise-scale match within a core target industry, featuring a speaker with an ideal leadership title (GM/Executive) in a target department (Service Operations). Their business model relies heavily on field service for complex medical equipment, making them a primary candidate for AI and automation solutions.",100,High,"GE HealthCare is a perfect enterprise-scale match within a core target industry, featuring a speaker with an ideal leadership title (GM/Executive) in a target department (Service Operations). Their business model relies heavily on field service for complex medical equipment, making them a primary candidate for AI and automation solutions."
Todd Brown,"SVP, Global Commercial Operations and Service",Accuray,Speaker,"Accuray is a perfect ICP match as a Medical Device manufacturer with a clear focus on complex field service for radiotherapy systems. The lead contact is a high-level SVP in a target department (Service/Operations), and the company size and speaker status meet all priority criteria.",100,High,"Accuray is a perfect ICP match as a Medical Device manufacturer with a clear focus on complex field service for radiotherapy systems. The lead contact is a high-level SVP in a target department (Service/Operations), and the company size and speaker status meet all priority criteria."
Stephen Goulbourne,"Vice President, Global Program Director, Global Service",Reiser,Speaker,"Reiser is a perfect ICP match, operating in the industrial equipment manufacturing sector with 800 employees. The presence of a Vice President from the Global Service department as a speaker indicates both high-level title alignment and direct departmental relevance for field service automation.",100,High,"Reiser is a perfect ICP match, operating in the industrial equipment manufacturing sector with 800 employees. The presence of a Vice President from the Global Service department as a speaker indicates both high-level title alignment and direct departmental relevance for field service automation."
Norman Apfelbaum,"Global VP, Worldwide Customer Service",Coherent Corporation,Speaker,"Coherent Corp is a massive global manufacturer in the industrial technology space, perfectly aligning with the target sectors. The lead is a high-ranking executive (Global VP) in a primary target department (Customer Service), and the company's size significantly exceeds the minimum requirement.",100,High,"Coherent Corp is a massive global manufacturer in the industrial technology space, perfectly aligning with the target sectors. The lead is a high-ranking executive (Global VP) in a primary target department (Customer Service), and the company's size significantly exceeds the minimum requirement."
Armin Jehle,"Vice President, Worldwide Customer Service Organization",Agilent Technologies,Speaker,"Agilent Technologies is a perfect fit, matching the target industry (Medical Devices/Manufacturing) and exceeding the size threshold with 18,000 employees. The presence of a VP-level speaker from the Worldwide Customer Service Organization aligns precisely with the target title and department criteria for field service automation.",100,High,"Agilent Technologies is a perfect fit, matching the target industry (Medical Devices/Manufacturing) and exceeding the size threshold with 18,000 employees. The presence of a VP-level speaker from the Worldwide Customer Service Organization aligns precisely with the target title and department criteria for field service automation."
